Name,Category,Day,Date,Time,Address,GoogleMapsURL,Transportation,Notes,Priority
中部國際機場 (NGO),Airport,1,6/26,11:15,愛知県常滑市セントレア,https://maps.google.com/?q=中部國際空港,航班抵達,CI154 07:30 TPE→11:15 NGO 第二航廈,High
民宿 (松原),Accommodation,1-6,6/26-7/1,14:30,愛知県名古屋市中区松原２丁目７−１１−２,https://maps.google.com/?q=愛知縣名古屋市中区松原２丁目７−１１−２,Check-in/Check-out,近大須觀音站600m 4臥室公寓,High
大須商店街,Shopping,1,6/26,16:00,愛知県名古屋市中区大須,https://maps.google.com/?q=大須商店街+名古屋,民宿步行5-8分鐘,江戶風格商店街 美食購物,High
コンパル 大須本店,Cafe,1,6/26,16:30,愛知県名古屋市中区大須2-30-20,https://maps.google.com/?q=コンパル+大須本店,大須商店街內步行10分鐘,必點炸蝦三明治 エビフライサンド 可外帶,High
矢場とん 大須本店,Restaurant,1,6/26,18:30,愛知県名古屋市中区大須2-30-41,https://maps.app.goo.gl/3LQt48yLNwp2LUKcA,商店街步行8-10分鐘,炸豬排 週五晚可能排隊建議18:00前抵達,High
山本屋総本家 栄店,Restaurant,2,6/27,12:30,愛知県名古屋市中区栄3-12-7,https://maps.google.com/?q=山本屋総本家+栄店,科學館步行8分鐘,味噌烏龍麵 味噌煮込みうどん,High
コメダ珈琲店 栄店,Cafe,2,6/27,16:00,愛知県名古屋市中区栄3-9-10,https://maps.google.com/?q=コメダ珈琲店+栄店,科學館步行10分鐘/地鐵1站,必點冰與火年輪蛋糕 シロノワール,High
榮商圈 (栄),Shopping,2,6/27,18:30,愛知県名古屋市中区栄,https://maps.google.com/?q=栄+名古屋+レストラン,コメダ就在商圈內步行5分鐘,世界の手羽先/一蘭拉麵/松坂屋/三越,High
世界の山ちゃん 栄店,Restaurant,2,6/27,18:30,愛知県名古屋市中区栄4-5-11,https://maps.google.com/?q=世界の山ちゃん+栄店,榮商圈步行5分鐘,名古屋名物胡椒炸雞翅 手羽先,Medium
名古屋港水族館 (南館),Attraction,3,6/28,10:45,愛知県名古屋市港区港町1-9,https://maps.google.com/?q=名古屋港水族館,名古屋港站3番出口步行5分鐘,北館虎鯨秀/南館沙丁魚風暴 門票大人¥2030,High
JETTY 美食街,Restaurant,3,6/28,13:00,愛知県名古屋市港区金城ふ頭,https://maps.google.com/?q=JETTY+名古屋港,水族館旁步行2分鐘,推薦 味里(寬版きしめん)/あんかけスパ/スガキヤ,High
シートレインランド (Sea Train Land),Attraction,3,6/28,15:30,愛知県名古屋市港区金城ふ頭,https://maps.google.com/?q=シートレインランド+名古屋,水族館旁步行3分鐘,摩天輪看港景 小孩遊戲設施,Medium
世界の山ちゃん 名古屋港店,Restaurant,3,6/28,18:00,愛知県名古屋市港区,https://maps.google.com/?q=世界の山ちゃん+名古屋港店,名古屋港站步行5-8分鐘,手羽先晚餐 如較遠可改金山站分店,Medium
名古屋城,Attraction,4,6/29,10:30,愛知県名古屋市中区本丸町1-1,https://maps.google.com/?q=名古屋城+本丸御殿,名古屋城站7番出口步行5分鐘,天守閣整修中但本丸御殿必看 門票大人¥500,High
あつた蓬莱軒 神宮店,Restaurant,4,6/29,12:30,愛知県名古屋市熱田区神宮2-10-5,https://maps.google.com/?q=あつた蓬莱軒+神宮店,名城線熱田神宮伝馬町站1番出口步行4分鐘,鰻魚飯三吃ひつまぶし 週一必吃建議10:30排隊,High
熱田神宮,Attraction,4,6/29,14:30,愛知県名古屋市熱田区神宮1-1-1,https://maps.google.com/?q=熱田神宮,蓬萊軒步行3分鐘,森林浴步道 清め餅配茶 境內寬敞平坦,High
オアシス21 (Oasis 21),Shopping,4,6/29,16:30,愛知県名古屋市中区東桜町9-1,https://maps.google.com/?q=オアシス21+名古屋,名城線栄站,水的宇宙船拍照 綠地休息,Medium
松坂屋 名古屋店,Shopping,4,6/29,18:30,愛知県名古屋市中区栄3-16-1,https://maps.google.com/?q=松坂屋+名古屋+レストラン,Oasis21步行5分鐘,11F餐廳街 和食/洋食/中華 長輩舒適,High
トヨタ産業技術記念館,Museum,5,6/30,10:30,愛知県西区則武町1-35-1,https://maps.google.com/?q=Toyota産業技術記念館,名鐵栄生站步行3分鐘,雨天備案 紡織機表演 全室內 門票大人¥1000,High
ノリタケの森 (則武之森),Attraction,5,6/30,10:30,愛知県名古屋市西区菊井町,https://maps.google.com/?q=ノリタケの森,地鐵亀島站2番出口步行5分鐘,晴天備案 紅磚建築畫瓷盤體驗 門票大人¥1200,High
イオンモール熱田,Mall,5,6/30,15:00,愛知県名古屋市熱田区,https://maps.google.com/?q=イオンモール熱田,金山站出發20-25分鐘,爸爸帶小孩去遊樂場/書店 媽媽2小時購物,High
中部國際機場 免稅店/伴手禮,Shopping,6,7/1,10:00,愛知県常滑市セントレア,https://maps.google.com/?q=中部国際空港+セントレア,航班起飛前最後採購,CI155 12:20 NGO→14:30 TPE,High
